   #Clust  Clust1:     Clust2:    Dist. based

     2       1           2              0.330

     3       1           2              0.700
     3       1           3              0.334
     3       2           3              0.378

     4       1           2              0.694
     4       1           3              0.457
     4       1           4              0.339
     4       2           3              0.412
     4       2           4              0.556
     4       3           4              0.244

     5       1           2              0.762
     5       1           3              0.468
     5       1           4              0.360
     5       1           5              0.726
     5       2           3              0.650
     5       2           4              0.670
     5       2           5              0.172
     5       3           4              0.262
     5       3           5              0.435
     5       4           5              0.627

     6       1           2              0.767
     6       1           3              0.527
     6       1           4              0.400
     6       1           5              0.771
     6       1           6              0.635
     6       2           3              0.714
     6       2           4              0.647
     6       2           5              0.201
     6       2           6              0.520
     6       3           4              0.386
     6       3           5              0.694
     6       3           6              0.230
     6       4           5              0.688
     6       4           6              0.448
     6       5           6              0.439

     7       1           2              0.813
     7       1           3              0.648
     7       1           4              0.146
     7       1           5              0.821
     7       1           6              0.712
     7       1           7              0.657
     7       2           3              0.724
     7       2           4              0.781
     7       2           5              0.201
     7       2           6              0.520
     7       2           7              0.650
     7       3           4              0.524
     7       3           5              0.704
     7       3           6              0.255
     7       3           7              0.418
     7       4           5              0.789
     7       4           6              0.682
     7       4           7              0.433
     7       5           6              0.434
     7       5           7              0.692
     7       6           7              0.477

     8       1           2              0.838
     8       1           3              0.650
     8       1           4              0.147
     8       1           5              0.836
     8       1           6              0.731
     8       1           7              0.657
     8       1           8              0.818
     8       2           3              0.779
     8       2           4              0.813
     8       2           5              0.393
     8       2           6              0.687
     8       2           7              0.699
     8       2           8              0.474
     8       3           4              0.527
     8       3           5              0.730
     8       3           6              0.235
     8       3           7              0.403
     8       3           8              0.669
     8       4           5              0.810
     8       4           6              0.655
     8       4           7              0.434
     8       4           8              0.779
     8       5           6              0.589
     8       5           7              0.734
     8       5           8              0.374
     8       6           7              0.452
     8       6           8              0.394
     8       7           8              0.608

     9       1           2              0.812
     9       1           3              0.539
     9       1           4              0.412
     9       1           5              0.810
     9       1           6              0.767
     9       1           7              0.669
     9       1           8              0.777
     9       1           9              0.141
     9       2           3              0.806
     9       2           4              0.704
     9       2           5              0.393
     9       2           6              0.771
     9       2           7              0.717
     9       2           8              0.473
     9       2           9              0.838
     9       3           4              0.542
     9       3           5              0.760
     9       3           6              0.550
     9       3           7              0.405
     9       3           8              0.712
     9       3           9              0.655
     9       4           5              0.739
     9       4           6              0.687
     9       4           7              0.397
     9       4           8              0.621
     9       4           9              0.647
     9       5           6              0.679
     9       5           7              0.653
     9       5           8              0.375
     9       5           9              0.836
     9       6           7              0.443
     9       6           8              0.642
     9       6           9              0.802
     9       7           8              0.447
     9       7           9              0.756
     9       8           9              0.813

    10       1           2              0.852
    10       1           3              0.539
    10       1           4              0.412
    10       1           5              0.839
    10       1           6              0.767
    10       1           7              0.669
    10       1           8              0.777
    10       1           9              0.141
    10       1          10              0.841
