 Input complete. Number of records:         6595


#Clust                  fval           CPU

     1                   4624.1914      2.4844
     2                   3197.0189      4.4219
     3                   2528.5182      6.5781
     4                   2207.4660      8.6406
     5                   1978.3850     10.4219
     6                   1788.4381     12.1719
     7                   1628.9818     14.4375
     8                   1510.4707     16.8594
     9                   1377.5669     19.3906
    10                   1289.5314     21.9375
